terms;source;ROC scores;tf-idf scores;lda scores;0=poor;1 = somewhat;2= absolute;expert judgment
aqueous;DOC terms -- LDA;0;0;0.06;1;0;4;0.80
measured;DOC terms -- LDA;0;0;0.03;0;2;3;0.80
chromatography performed;DOC terms -- tf-idf;0;1.53;0.00;1;3;6;0.75
chromatography;DOC terms;0;2.8;0.06;1;3;6;0.75
dumas;ROC terms;1;0.00;0.00;1;3;5;0.72
analytical;common terms;1;1.97;0.05;0;5;4;0.72
dionex sunnyvale;DOC terms -- tf-idf;0;1.43;0.00;2;2;6;0.70
compounds;DOC terms -- LDA;0;0;0.05;0;3;2;0.70
spectra;DOC terms -- LDA;0;0;0.03;1;1;3;0.70
determined;DOC terms;0;2.83;0.09;2;2;6;0.70
dionex;common terms;1;4.99;0.09;3;0;7;0.70
concentration;common terms;1;1.91;0.03;3;0;7;0.70
elution;DOC terms;0;3.91;0.16;3;0;6;0.67
elution performed;DOC terms -- tf-idf;0;1.20;0.00;3;1;6;0.65
columns;DOC terms;0;2.88;0.04;2;3;5;0.65
ml;ROC terms;1;0.00;0.00;2;3;4;0.61
molecular weight;DOC terms -- tf-idf;0;1.54;0.00;3;1;5;0.61
min;DOC terms;0;8.12;0.19;3;1;5;0.61
carbopac;common terms;1;3.24;0.05;2;3;4;0.61
sodium acetate;DOC terms -- tf-idf;0;1.59;0.00;3;2;5;0.60
photodiode;DOC terms -- LDA;0;0;0.04;1;2;2;0.60
normalized;DOC terms -- LDA;0;0;0.06;1;2;2;0.60
purified;DOC terms -- LDA;0;0;0.06;0;4;1;0.60
profiles;DOC terms -- LDA;0;0;0.04;2;0;3;0.60
running;DOC terms -- LDA;0;0;0.03;2;0;3;0.60
sigma;DOC terms -- LDA;0;0;0.09;1;2;2;0.60
added;DOC terms -- LDA;0;0;0.05;1;2;2;0.60
material;DOC terms -- LDA;0;0;0.03;1;2;2;0.60
washing;DOC terms -- LDA;0;0;0.03;1;2;2;0.60
acetate;DOC terms;0;2.55;0.11;3;2;5;0.60
conductivity;common terms;1;0.81;0.03;3;2;5;0.60
samples;DOC terms;0;3.79;0.12;2;3;3;0.56
acid;common terms;1;3.89;0.13;3;1;4;0.56
chromeleon;common terms;1;0.75;0.04;3;2;4;0.56
methionine;ROC terms;1;0.00;0.00;4;1;5;0.55
isocratic elution;DOC terms -- tf-idf;0;1.59;0.00;3;3;4;0.55
mobile phase;DOC terms -- tf-idf;0;1.58;0.00;4;1;5;0.55
products;DOC terms;0;2.47;0.14;3;3;4;0.55
isocratic;common terms;1;3.31;0.10;3;3;4;0.55
solvent;common terms;1;2.30;0.14;4;1;5;0.55
injection;common terms;1;2.22;0.13;3;3;4;0.55
authentic standard;ROC terms;1;0.00;0.00;2;6;2;0.50
column mm;DOC terms -- tf-idf;0;2.73;0.00;3;3;3;0.50
column pharmacia;DOC terms -- tf-idf;0;1.21;0.00;3;3;3;0.50
acn/water;DOC terms -- LDA;0;0;0.09;2;1;2;0.50
v/v;DOC terms -- LDA;0;0;0.15;1;3;1;0.50
